Account,date,daily_pnl,num_trades,avg_trade_size_usd,total_volume_usd,win_rate,long_short_ratio,avg_leverage,classification,cumulative_pnl,rolling_max_pnl,drawdown_proxy
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-10-04,-103.71342200000002,188,874.4072929936306,274563.89,0.267515923566879,1.2269503459081537,46.421301974224896,Unknown,7340.266725000001,11119.31301,3779.0462849999985
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-11-01,417.647169,57,435.32475609756096,35696.63,0.2073170731707317,0.9069767230935646,6.584902110117301,Unknown,7757.913894000001,11119.31301,3361.3991159999987
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-11-02,56.537437,10,569.5515789473684,10821.48,0.2631578947368421,0.3571428316326549,22.099505226256184,Unknown,7814.451331000001,11119.31301,3304.8616789999987
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-11-03,94.48255800000001,4,1261.5125,10092.1,0.75,0.1428571224489825,0.5248296635936787,Unknown,7908.933889000001,11119.31301,3210.379120999999
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-11-04,19.202581000000002,34,553.0408196721311,33735.49,0.19672131147540983,0.24489795418575605,36.968104981260645,Unknown,7928.136470000001,11119.31301,3191.1765399999986
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-12-01,0.0,12,332.6786666666667,4990.18,0.0,0.0,6.368418855969255,Unknown,7928.136470000001,11119.31301,3191.1765399999986
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-12-02,299.669854,16,410.9486666666666,12328.46,0.7666666666666667,6.4999983750004064,19.6473119071519,Unknown,8227.806324000001,11119.31301,2891.506685999999
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-12-03,0.0,1,666.82,2000.46,0.0,3000000.0,0.0820303674734491,Unknown,8227.806324000001,11119.31301,2891.506685999999
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-12-04,0.0,17,772.8058333333333,18547.34,0.0,0.0,58.464676829524926,Unknown,8227.806324000001,11119.31301,2891.506685999999
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-02,12245.905048999999,4,2370.67449704142,400643.99,0.4437869822485207,1.2533333166222225,73.49939273176366,Greed,12245.905048999999,12245.905048999999,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-07-02,0.0,1,46000.0,92000.0,0.0,2000000.0,0.046318658764564494,Unknown,12245.905048999999,12245.905048999999,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-07-04,3425.96095,6,9608.110294117647,653351.5,0.4852941176470588,0.5813953353163875,5.631605379877139,Unknown,15671.865999,15671.865999,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-08-02,0.0,3,1771.9198684210526,269331.82,0.0,152000000.0,50.803136759712395,Unknown,15671.865999,15671.865999,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-01-02,923.487443,3,1390.1038888888888,25021.87,1.0,0.0,12.266659401489925,Greed,923.487443,923.487443,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-01-05,1449.529436,127,1130.8870833333333,325695.48,0.3506944444444444,1.8514851301833155,2.669157488645953,Greed,2373.016879,2373.016879,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-02,0.0,18,1210.4648275862069,35103.479999999996,0.0,29000000.0,5.732489307695602,Greed,2373.016879,2373.016879,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-03,625.512206,17,1691.2284375000002,54119.310000000005,0.5,0.9999999375000038,15.705633281882413,Fear,2998.529085,2998.529085,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-03-02,2161.6751200000003,10,8577.862,128667.93,0.4,1.4999997500000417,0.4265849218517489,Fear,5160.204205,5160.204205,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-03-03,60.171373,138,234.52426136363636,41276.27,0.08522727272727272,9.999999375000039,41.852385925339206,Fear,5220.375578,5220.375578,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-04-02,4624.583773,341,1221.8522845417237,893174.02,0.18878248974008208,3.6265822555279605,12.325325329312745,Fear,9844.959351000001,9844.959351000001,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-04-03,0.0,22,369.27675,14771.07,0.0,40000000.0,27.943925573399277,Fear,9844.959351000001,9844.959351000001,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-05-02,-6194.283149,164,4161.944646739131,1531595.6300000001,0.12228260869565218,2.50476188090703,13.377935461530157,Greed,3650.6762020000006,9844.959351000001,6194.283149000001
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-02,2780.135427,296,716.7850620347394,577728.76,0.3399503722084367,1.9309090838876033,35.79168097330646,Unknown,6430.811629000001,9844.959351000001,3414.1477220000006
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-07-02,6119.377807,373,1749.6032401524778,1376937.75,0.25667090216010163,2.9747474597234977,5.2283169114340415,Unknown,12550.189436,12550.189436,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-08-02,330.039883,155,764.5767682926829,250781.18,0.2926829268292683,2.4166666414930558,19.551700781555425,Unknown,12880.229319,12880.229319,0.0
